Level,density,LeniencyMetric,LevelSlopeMetric,LinearityMetric,Patterndensity,patternvariation
patternbased_0,0.0582010582010582,0.6168965517241379,-0.0021201145243637544,0.0016428776253145695,0.068100358,0.202525936
patternbased_1,0.0582010582010582,0.697183257918552,0.004433240731258608,0.010838994368299668,0.068100358,0.302210194
patternbased_10,0.07936507936507936,0.4190198237885463,-0.027820602302984113,0.2166252719433221,0.064516129,0.33543828
patternbased_100,0.05291005291005291,0.7322159090909092,0.014380882031352862,0.09215204948145726,0.064516129,0.268982108
patternbased_101,0.06878306878306878,0.6875660792951541,-0.0009800067199987647,0.00024548401781883324,0.0609319,0.268982108
patternbased_102,0.07936507936507936,0.6544658119658119,0.002232857305606108,0.0007236786101146247,0.05734767,0.235754022
patternbased_103,0.047619047619047616,0.8125234741784038,-0.012593156846535765,0.08037172799489407,0.043010753,0.268982108
patternbased_104,0.0582010582010582,0.7458636363636364,0.00840780320118074,0.03279508047375438,0.064516129,0.268982108
patternbased_105,0.042328042328042326,0.7459821428571428,-0.0007424883671802138,0.000324473586721239,0.046594982,0.268982108
patternbased_106,0.06878306878306878,0.67453125,-0.008586840496849088,0.033155780132585085,0.064516129,0.268982108
patternbased_107,0.06878306878306878,0.635793991416309,-0.009535530653396476,0.03487760293833517,0.064516129,0.268982108
patternbased_108,0.06878306878306878,0.6951216814159292,-0.006311677944791732,0.0192049549356721,0.046594982,0.235754022
patternbased_109,0.07407407407407407,0.6641482300884956,-0.010127526525784265,0.04398322555450624,0.035842294,0.16929785
patternbased_11,0.06878306878306878,0.51725,0.009401802793531682,0.02266581430713973,0.043010753,0.268982108
patternbased_110,0.06349206349206349,0.6443240343347639,0.01443533004944479,0.09081654266830021,0.064516129,0.268982108
patternbased_111,0.047619047619047616,0.72375,-0.007061279396437609,0.011765466944517331,0.053763441,0.302210194
patternbased_112,0.037037037037037035,0.7401369863013699,0.0033795302052856625,0.009561522393151726,0.071684588,0.268982108
patternbased_113,0.06349206349206349,0.5005309734513275,-0.02869893685345252,0.253461711228263,0.064516129,0.268982108
patternbased_114,0.07407407407407407,0.594636752136752,-0.008831333183109295,0.027435827811229652,0.050179211,0.202525936
patternbased_115,0.05291005291005291,0.5456223175965665,-0.003495537610031867,0.002793488122584558,0.053763441,0.268982108
patternbased_116,0.06349206349206349,0.7720890410958904,0.005195180244477298,0.004553486662291264,0.05734767,0.268982108
patternbased_117,0.0582010582010582,0.6420132743362832,0.007482344383020319,0.020739207700870267,0.050179211,0.202525936
patternbased_118,0.3386243386243386,0.5107931726907631,0.006793321493180128,0.012993345010488933,0.053763441,0.268982108
patternbased_119,0.037037037037037035,0.5628459821428572,0.013703912970348873,0.11205450262106881,0.043010753,0.16929785
patternbased_12,0.06349206349206349,0.533875,-0.0016709962543066876,0.0007463129898267472,0.046594982,0.202525936
patternbased_120,0.08465608465608465,0.39535714285714285,0.014953359236907021,0.048644382567254806,0.068100358,0.235754022
patternbased_121,0.06349206349206349,0.6802850877192982,-0.006098070149486776,0.00936948722879171,0.071684588,0.16929785
patternbased_122,0.07936507936507936,0.4470816733067729,0.0034212160808142363,0.0028809459194490653,0.082437276,0.268982108
patternbased_123,0.037037037037037035,0.744703196347032,-0.0024448971264588596,0.001457431142869482,0.075268817,0.16929785
patternbased_124,0.06878306878306878,0.42658227848101266,0.006537827121998659,0.008454095959926735,0.068100358,0.16929785
patternbased_125,0.06878306878306878,0.7160444444444445,0.01150476090957065,0.059205253244748235,0.064516129,0.202525936
patternbased_126,0.031746031746031744,0.6967745535714285,-0.01177522468504203,0.032952925547210125,0.086021505,0.268982108
patternbased_127,0.20105820105820105,0.4366634241245136,0.01087629871817489,0.030049734222891145,0.064516129,0.202525936
patternbased_128,0.15873015873015872,0.3963967971530249,0.0373774162704465,0.4216943784529065,0.093189964,0.268982108
patternbased_129,0.05291005291005291,0.6700326086956523,-0.014395766689276095,0.037274181734058644,0.111111111,0.302210194
patternbased_13,0.10582010582010581,0.45150763358778623,0.0213664968521181,0.12156180919424549,0.050179211,0.202525936
patternbased_130,0.14814814814814814,0.34872340425531917,0.01615867724660779,0.07658421072368539,0.100358423,0.302210194
patternbased_131,0.047619047619047616,0.7289592760180995,-0.00413485632729473,0.013101708581093545,0.100358423,0.302210194
patternbased_132,0.0582010582010582,0.6700217391304347,-0.004760091726241662,0.012285978609399367,0.100358423,0.268982108
patternbased_133,0.06878306878306878,0.5572379032258065,0.0013770753309875624,0.00023889230773640587,0.075268817,0.16929785
patternbased_134,0.0582010582010582,0.7185903083700441,-0.028506896295793983,0.26876909561316453,0.107526882,0.302210194
patternbased_135,0.2857142857142857,0.3834926470588235,-0.009424911756520667,0.025197450558956547,0.068100358,0.16929785
patternbased_136,0.06349206349206349,0.44136462882096067,-0.0009802014029386004,0.00022365747395624682,0.068100358,0.235754022
patternbased_137,0.07407407407407407,0.6308478260869566,-0.0011027648199062581,0.0004536900714340608,0.071684588,0.16929785
patternbased_138,0.07936507936507936,0.6701211453744493,0.0005237218696076271,0.0000698871028635966,0.068100358,0.268982108
patternbased_139,0.0582010582010582,0.6363377192982457,-0.005997880144079202,0.009065126620966382,0.064516129,0.202525936
patternbased_14,0.06349206349206349,0.3717827004219409,-0.002360307077938999,0.0010317927787546401,0.050179211,0.202525936
patternbased_140,0.0582010582010582,0.7031081081081081,0.01132270118234548,0.07502673607050807,0.103942652,0.302210194
patternbased_141,0.07407407407407407,0.6701211453744493,-0.0003028082326704425,0.000043259799185515915,0.107526882,0.302210194
patternbased_142,0.09523809523809523,0.5047737068965518,-0.020245277483304642,0.1420220345481237,0.107526882,0.268982108
patternbased_143,0.08994708994708994,0.6729535398230089,0.0042447508763083465,0.009601304676068049,0.071684588,0.202525936
patternbased_144,0.07407407407407407,0.681858407079646,0.0005457314971062146,0.00020274503544404112,0.075268817,0.202525936
patternbased_145,0.08994708994708994,0.5726588983050848,-0.0032451431627311183,0.002228261846433948,0.107526882,0.268982108
patternbased_146,0.0582010582010582,0.769942396313364,0.002458259294337881,0.0006491715447639495,0.089605735,0.268982108
patternbased_147,0.042328042328042326,0.8518660287081339,0.0036488489144309386,0.008512998912182683,0.089605735,0.302210194
patternbased_148,0.1746031746031746,0.5216071428571428,0.004665919613600067,0.006395288791521872,0.086021505,0.16929785
patternbased_149,0.09523809523809523,0.49620652173913044,0.012539051736782755,0.04884436350472799,0.093189964,0.268982108
patternbased_15,0.08994708994708994,0.6188706140350877,-0.0012547208005374542,0.000759635953093662,0.068100358,0.302210194
patternbased_150,0.14285714285714285,0.5996940928270043,0.0019610201929461356,0.0011586543418051222,0.089605735,0.202525936
patternbased_151,0.0582010582010582,0.41568855932203386,-0.03176136717142961,0.29615586976886615,0.0609319,0.102841678
patternbased_152,0.037037037037037035,0.7654460093896713,0.019126963960314138,0.18650398534965063,0.0609319,0.202525936
patternbased_153,0.037037037037037035,0.7070555555555555,-0.03029149556227689,0.29803678836675224,0.107526882,0.268982108
patternbased_154,0.05291005291005291,0.7153733031674208,0.0015526805288748802,0.0016480944616903204,0.082437276,0.302210194
patternbased_155,0.06349206349206349,0.6517021276595745,0.009825512418163112,0.020671493910893117,0.089605735,0.302210194
patternbased_156,0.06878306878306878,0.7800344036697249,0.004416363571044775,0.013903710701063221,0.096774194,0.268982108
patternbased_157,0.031746031746031744,0.8088038277511961,0.001468240194376938,0.001661970528793529,0.068100358,0.268982108
patternbased_158,0.026455026455026454,0.7984037558685446,0.006332904989392631,0.02697527044378923,0.068100358,0.202525936
patternbased_159,0.3544973544973545,0.5529707112970711,-0.022148196923423104,0.13426851311959123,0.075268817,0.268982108
patternbased_16,0.10052910052910052,0.7294222222222222,-0.000898124035989047,0.00047691503288332,0.053763441,0.268982108
patternbased_160,0.06349206349206349,0.6803070175438597,0.005011577211381372,0.012087123091962323,0.089605735,0.202525936
patternbased_161,0.042328042328042326,0.6320394736842104,0.01842241348319165,0.13906848689794352,0.086021505,0.33543828
patternbased_162,0.06878306878306878,0.7199122807017543,-0.02364725367279934,0.20101859940457356,0.114695341,0.302210194
patternbased_163,0.07407407407407407,0.5786919831223629,0.00785994669286311,0.012781868812368062,0.11827957,0.33543828
patternbased_164,0.06349206349206349,0.7071555555555556,0.01236727999577878,0.08381675140576977,0.121863799,0.33543828
patternbased_165,0.12169312169312169,0.5780439330543933,-0.023585556332627263,0.16131337378294006,0.107526882,0.302210194
patternbased_166,0.0582010582010582,0.6473829787234042,-0.0028951310861422943,0.001685193019268005,0.114695341,0.268982108
patternbased_167,0.08994708994708994,0.40396995708154504,0.010991880519005145,0.031983572537525755,0.11827957,0.302210194
patternbased_168,0.07407407407407407,0.5415909090909091,-0.004048769755938322,0.0036432541731274996,0.103942652,0.302210194
patternbased_169,0.3333333333333333,0.652466960352423,-0.029194494058964442,0.30371303430665225,0.103942652,0.235754022
patternbased_17,0.10582010582010581,0.565428870292887,-0.011412862236696682,0.049591370390487444,0.0609319,0.302210194
patternbased_170,0.026455026455026454,0.6434741784037559,-0.0003705676740185001,0.00004026191170731508,0.086021505,0.268982108
patternbased_171,0.2857142857142857,0.6514870689655171,-0.015184899148987324,0.08337609042325761,0.089605735,0.302210194
patternbased_172,0.07936507936507936,0.7326339285714286,0.0026982296162344588,0.005339600713472667,0.121863799,0.302210194
patternbased_173,0.06349206349206349,0.5319142259414226,0.005524631918953946,0.008204838213795876,0.086021505,0.268982108
patternbased_174,0.031746031746031744,0.7301238738738739,-0.023652904723197265,0.22347003957385414,0.089605735,0.202525936
patternbased_175,0.06349206349206349,0.6379803493449782,0.006285350110963655,0.021838972836927737,0.096774194,0.302210194
patternbased_176,0.06878306878306878,0.6715444444444444,-0.008203939090199348,0.01544709959104154,0.125448029,0.302210194
patternbased_177,0.06349206349206349,0.6744383259911894,0.003046264410139867,0.0027516954900556182,0.071684588,0.235754022
patternbased_178,0.12169312169312169,0.5943449781659388,0.0030135980106215966,0.0024878785903202083,0.096774194,0.302210194
patternbased_179,0.06349206349206349,0.5736888888888888,0.02237490442044522,0.17334456186481387,0.100358423,0.202525936
patternbased_18,0.0582010582010582,0.6875652173913043,0.026503439375612926,0.10686457370461787,0.043010753,0.136069764
patternbased_180,0.08465608465608465,0.6486266094420601,-0.004000829772337274,0.0031342265393246044,0.075268817,0.202525936
patternbased_181,0.08465608465608465,0.6098634453781512,0.005787501151396309,0.006799422876474716,0.121863799,0.235754022
patternbased_182,0.08465608465608465,0.5775,-0.012709802801964109,0.056136206438616304,0.114695341,0.302210194
patternbased_183,0.10052910052910052,0.594551282051282,0.005091633382373332,0.007374846028346212,0.096774194,0.302210194
patternbased_184,0.0582010582010582,0.37720647773279353,-0.0017436859709229584,0.000772151592676498,0.114695341,0.302210194
patternbased_185,0.031746031746031744,0.726324200913242,-0.012093433466071564,0.029953744166082794,0.11827957,0.302210194
patternbased_186,0.047619047619047616,0.759525462962963,-0.0025462353573010798,0.004474289635411295,0.111111111,0.368666366
patternbased_187,0.06878306878306878,0.37510956175298804,-0.015049484163244052,0.06262544940830918,0.103942652,0.202525936
patternbased_188,0.031746031746031744,0.6077570093457944,0.005676289733092794,0.010573207579362337,0.114695341,0.302210194
patternbased_189,0.07936507936507936,0.5881041666666665,-0.010662464871889432,0.04037051261606299,0.093189964,0.302210194
patternbased_19,0.06878306878306878,0.584611344537815,0.012054886591916196,0.05511791701324502,0.068100358,0.302210194
patternbased_190,0.031746031746031744,0.7688425925925926,-0.0020716316050908698,0.0007927087620917391,0.11827957,0.302210194
patternbased_191,0.06349206349206349,0.704004424778761,0.011715787095259224,0.10287605773665136,0.100358423,0.268982108
patternbased_192,0.07936507936507936,0.759537037037037,-0.010765094162760764,0.016574915125932368,0.100358423,0.202525936
